AcquisitionID,AcquisitionMonth,AcquisitionMonthDate,AcquisitionYear,Company,Value (USD),ParentCompany
ACQ414,December,5,2011,Cúram Software,,IBM
ACQ413,December,8,2011,DemandTec,440000000,IBM
ACQ412,December,9,2011,RightsFlow,,Google
ACQ411,December,13,2011,Clever Sense,,Google
ACQ410,December,15,2011,Emptoris,,IBM
ACQ41,December,13,2016,Cronologics,,Google
ACQ409,December,20,2011,Anobit,390000000,Apple
ACQ408,,,2012,WIMM Labs,,Google
ACQ407,January,4,2012,Green Hat (software company)[124],,IBM
ACQ406,January,19,2012,Summify,,Twitter
ACQ405,January,24,2012,Dasient,,Twitter
ACQ404,January,31,2012,Worklight,70000000,IBM
ACQ403,February,20,2012,Caffeinatedmind,,Facebook
ACQ402,February,23,2012,Chomp,50000000,Apple
ACQ401,March,12,2012,Posterous,,Twitter
ACQ400,March,16,2012,"Milk, Inc",,Google
ACQ40,January,5,2017,Limes Audio,,Google
ACQ4,January,29,2018,Playfab,,Microsoft
ACQ399,April,2,2012,TxVia,,Google
ACQ398,April,9,2012,Instagram,1000000000,Facebook
ACQ397,April,13,2012,Tagtile,,Facebook
ACQ396,April,13,2012,Varicent,,IBM
ACQ395,April,16,2012,Hotspots.io,,Twitter
ACQ394,April,25,2012,Vivisimo,,IBM
ACQ393,May,2,2012,Tealeaf Technology,,IBM
ACQ392,May,5,2012,Glancee,,Facebook
ACQ391,May,10,2012,RestEngine,,Twitter
ACQ390,May,15,2012,Lightbox.com,,Facebook
ACQ39,January,13,2017,Maluuba,,Microsoft
ACQ389,May,21,2012,Karma,,Facebook
ACQ388,June,2,2012,Redmatica,,Apple
ACQ387,June,4,2012,Meebo,100000000,Google
ACQ386,June,4,2012,Nclud,,Twitter
ACQ385,June,5,2012,Quickoffice,,Google
ACQ384,June,18,2012,Face.com,100000000,Facebook
ACQ383,June,25,2012,Yammer,1200000000,Microsoft
ACQ382,July,9,2012,Perceptive Pixel,,Microsoft
ACQ381,July,14,2012,Spool,,Facebook
ACQ380,July,20,2012,Sparrow,25000000,Google
ACQ38,January,17,2017,Simplygon,,Microsoft
ACQ379,July,20,2012,Acrylic Software,,Facebook
ACQ378,July,27,2012,AuthenTec,356000000,Apple
ACQ377,August,1,2012,Wildfire Interactive,450000000,Google
ACQ376,August,13,2012,Clutch.IO,,Twitter
ACQ375,August,16,2012,Texas Memory Systems,,IBM
ACQ374,August,24,2012,Threadsy,,Facebook
ACQ373,August,27,2012,Kenexa Corporation,1400000000,IBM
ACQ372,September,7,2012,VirusTotal.com,,Google
ACQ371,September,17,2012,"Nik Software, Inc.",,Google
ACQ370,September,24,2012,Butterfly Software Ltd.,,IBM
ACQ37,January,19,2017,Fabric,,Google
ACQ369,September,27,2012,Particle,,Apple
ACQ368,October,1,2012,Viewdle,45000000,Google
ACQ367,October,4,2012,PhoneFactor,,Microsoft
ACQ366,October,9,2012,Vine,30000000,Twitter
ACQ365,October,16,2012,StorSimple,,Microsoft
ACQ364,October,16,2012,Cabana,,Twitter
ACQ363,October,17,2012,MarketingPilot,,Microsoft
ACQ362,October,25,2012,Stamped,,Yahoo
ACQ361,November,1,2012,We Are Hunted,,Twitter
ACQ360,November,28,2012,Incentive Targeting Inc.,,Google
ACQ36,February,3,2017,Agile 3 Solutions,,IBM
ACQ359,November,30,2012,BufferBox,17000000,Google
ACQ358,December,4,2012,OnTheAir,,Yahoo
ACQ357,December,19,2012,StoredIQ,,IBM
ACQ356,,,2013,OttoCat,,Apple
ACQ355,,,2013,Novauris Technologies,,Apple
ACQ354,January,3,2013,id8 Group R2 Studios,,Microsoft
ACQ353,January,22,2013,Snip.it,10000000,Yahoo
ACQ352,January,28,2013,Crashlytics,100000000,Twitter
ACQ351,February,1,2013,Star Analytics,,IBM
ACQ350,February,2,2013,Pando Networks,,Microsoft
ACQ35,March,8,2017,Kaggle,,Google
ACQ349,February,6,2013,Channel Intelligence,125000000,Google
ACQ348,February,6,2013,Bluefin Labs,80000000,Twitter
ACQ347,February,12,2013,Alike,,Yahoo
ACQ346,February,28,2013,Atlas Solutions,,Facebook
ACQ345,March,,2013,osmeta,,Facebook
ACQ344,March,4,2013,MetricsHub,,Microsoft
ACQ343,March,12,2013,DNNresearch Inc.,,Google
ACQ342,March,14,2013,Hot Studio,,Facebook
ACQ341,March,15,2013,Talaria Technologies,,Google
ACQ340,March,19,2013,Netbreeze,,Microsoft
ACQ34,March,9,2017,AppBridge,,Google
ACQ339,March,20,2013,Jybe,,Yahoo
ACQ338,March,23,2013,WiFiSlam,20000000,Apple
ACQ337,March,25,2013,Summly,30000000,Yahoo
ACQ336,April,12,2013,Behavio,,Google
ACQ335,April,22,2013,UrbanCode,,IBM
ACQ334,April,23,2013,Wavii,30000000,Google
ACQ333,April,23,2013,Spaceport,,Facebook
ACQ332,April,25,2013,Parse,85000000,Facebook
